Epoch:73/80: step:11800, lr:9.2912916e-07, loss:0.008645048, pPAN_max:0.8815259, pPAN_min:0.024960697, elapsed_time:0:44:19.440924

Epoch:74/80: step:11900, lr:8.7062455e-07, loss:0.008599794, pPAN_max:0.8680806, pPAN_min:0.02497238, elapsed_time:0:44:42.515452

Epoch:75/80: step:12000, lr:8.158032e-07, loss:0.008642099, pPAN_max:0.8816353, pPAN_min:0.02498272, elapsed_time:0:45:05.406778

Epoch:75/80: step:12100, lr:7.6443393e-07, loss:0.008676531, pPAN_max:0.88168174, pPAN_min:0.025010467, elapsed_time:0:45:27.734186

Epoch:76/80: step:12200, lr:7.162997e-07, loss:0.008598008, pPAN_max:0.8683146, pPAN_min:0.024965346, elapsed_time:0:45:50.687149

Epoch:76/80: step:12300, lr:6.711959e-07, loss:0.008679616, pPAN_max:0.8671835, pPAN_min:0.024966389, elapsed_time:0:46:12.952815

Epoch:77/80: step:12400, lr:6.289319e-07, loss:0.008635688, pPAN_max:0.8683628, pPAN_min:0.024979144, elapsed_time:0:46:36.062950

Epoch:78/80: step:12500, lr:5.893299e-07, loss:0.008626016, pPAN_max:0.88173234, pPAN_min:0.024879515, elapsed_time:0:46:59.036614

Epoch:78/80: step:12600, lr:5.5222114e-07, loss:0.008673004, pPAN_max:0.8817611, pPAN_min:0.024943799, elapsed_time:0:47:21.477469

Epoch:79/80: step:12700, lr:5.1744894e-07, loss:0.008649079, pPAN_max:0.88184536, pPAN_min:0.024944127, elapsed_time:0:47:44.565439

Epoch:80/80: step:12800, lr:4.848667e-07, loss:0.008652378, pPAN_max:0.8818567, pPAN_min:0.02498734, elapsed_time:0:48:07.485655

Epoch:80/80: step:12900, lr:4.543357e-07, loss:0.008621752, pPAN_max:0.8678018, pPAN_min:0.024952888, elapsed_time:0:48:29.878343

Epoch:80/80: step:12960, lr:4.3694806e-07, loss:0.0085698785, pPAN_max:0.8677609, pPAN_min:0.02499649, elapsed_time:0:48:43.303767

