Epoch:11/20: step:6500, lr:0.00018841254, loss:0.025565792, pPAN_max:0.9299303, pPAN_min:4.1753054e-05, elapsed_time:0:31:16.557992

Epoch:11/20: step:6600, lr:0.00018168807, loss:0.020029776, pPAN_max:0.8845682, pPAN_min:5.8084726e-05, elapsed_time:0:31:45.121983

Epoch:11/20: step:6700, lr:0.00017520359, loss:0.022787426, pPAN_max:0.74220204, pPAN_min:0.1213758, elapsed_time:0:32:13.622251

Epoch:12/20: step:6800, lr:0.00016895056, loss:0.028782142, pPAN_max:0.798564, pPAN_min:6.350875e-05, elapsed_time:0:32:44.210165

Epoch:12/20: step:6900, lr:0.00016292071, loss:0.015647642, pPAN_max:0.60118955, pPAN_min:0.107346594, elapsed_time:0:33:12.812857

Epoch:12/20: step:7000, lr:0.00015710603, loss:0.016919436, pPAN_max:0.7918967, pPAN_min:0.09749955, elapsed_time:0:33:41.536298

Epoch:12/20: step:7100, lr:0.0001514989, loss:0.028650308, pPAN_max:0.85055685, pPAN_min:0.1277309, elapsed_time:0:34:10.278893

Epoch:12/20: step:7200, lr:0.00014609187, loss:0.022257583, pPAN_max:0.9176569, pPAN_min:0.096027404, elapsed_time:0:34:39.128670

Epoch:12/20: step:7300, lr:0.00014087783, loss:0.022262225, pPAN_max:0.9126034, pPAN_min:0.07851869, elapsed_time:0:35:07.478273

Epoch:13/20: step:7400, lr:0.0001358499, loss:0.018202318, pPAN_max:0.8260013, pPAN_min:0.09643191, elapsed_time:0:35:37.901292

Epoch:13/20: step:7500, lr:0.00013100139, loss:0.0154572055, pPAN_max:0.7894951, pPAN_min:5.1915646e-05, elapsed_time:0:36:06.535680

Epoch:13/20: step:7600, lr:0.00012632593, loss:0.020835133, pPAN_max:0.7295419, pPAN_min:5.9843063e-05, elapsed_time:0:36:34.810799

Epoch:13/20: step:7700, lr:0.000121817335, loss:0.026017893, pPAN_max:0.9062083, pPAN_min:0.12633616, elapsed_time:0:37:03.319285

Epoch:13/20: step:7800, lr:0.00011746966, loss:0.017243242, pPAN_max:0.7689911, pPAN_min:4.339218e-05, elapsed_time:0:37:31.786926

Epoch:13/20: step:7900, lr:0.00011327714, loss:0.025418837, pPAN_max:0.81737816, pPAN_min:5.477667e-05, elapsed_time:0:38:00.459272

Epoch:14/20: step:8000, lr:0.00010923427, loss:0.013646148, pPAN_max:0.8656649, pPAN_min:0.16562387, elapsed_time:0:38:30.886244

Epoch:14/20: step:8100, lr:0.0001053357, loss:0.018188484, pPAN_max:0.58791625, pPAN_min:0.13231978, elapsed_time:0:38:59.343612

Epoch:14/20: step:8200, lr:0.00010157625, loss:0.014294298, pPAN_max:0.6409594, pPAN_min:0.12132758, elapsed_time:0:39:27.999785

Epoch:14/20: step:8300, lr:9.795097e-05, loss:0.022006165, pPAN_max:0.7438984, pPAN_min:0.11036664, elapsed_time:0:39:56.367607

Epoch:14/20: step:8400, lr:9.4455085e-05, loss:0.025846748, pPAN_max:0.74433976, pPAN_min:4.9203634e-05, elapsed_time:0:40:24.969330

Epoch:14/20: step:8500, lr:9.108399e-05, loss:0.016639939, pPAN_max:0.7352812, pPAN_min:5.7160854e-05, elapsed_time:0:40:53.419449

Epoch:15/20: step:8600, lr:8.7833185e-05, loss:0.01951743, pPAN_max:0.89817387, pPAN_min:0.12446231, elapsed_time:0:41:23.984464

Epoch:15/20: step:8700, lr:8.469842e-05, loss:0.023631938, pPAN_max:0.9416635, pPAN_min:4.029274e-05, elapsed_time:0:41:52.473661

Epoch:15/20: step:8800, lr:8.167553e-05, loss:0.02362235, pPAN_max:0.9067146, pPAN_min:0.14741248, elapsed_time:0:42:20.942588

Epoch:15/20: step:8900, lr:7.876051e-05, loss:0.014904548, pPAN_max:0.6303075, pPAN_min:0.1500572, elapsed_time:0:42:49.621574

Epoch:15/20: step:9000, lr:7.594954e-05, loss:0.015286296, pPAN_max:0.8985772, pPAN_min:0.14411944, elapsed_time:0:43:18.188233

Epoch:15/20: step:9100, lr:7.323888e-05, loss:0.0247668, pPAN_max:0.6161312, pPAN_min:5.5402517e-05, elapsed_time:0:43:46.680644

Epoch:15/20: step:9200, lr:7.062496e-05, loss:0.024261838, pPAN_max:0.9467378, pPAN_min:0.07216573, elapsed_time:0:44:15.173278

Epoch:16/20: step:9300, lr:6.810435e-05, loss:0.019204136, pPAN_max:0.6930009, pPAN_min:0.13284466, elapsed_time:0:44:45.816855

Epoch:16/20: step:9400, lr:6.567371e-05, loss:0.018595813, pPAN_max:0.5754522, pPAN_min:6.324053e-05, elapsed_time:0:45:14.252166

Epoch:16/20: step:9500, lr:6.3329804e-05, loss:0.02485842, pPAN_max:0.77445865, pPAN_min:0.12973726, elapsed_time:0:45:42.697520

Epoch:16/20: step:9600, lr:6.106955e-05, loss:0.029286731, pPAN_max:0.76684153, pPAN_min:0.1026884, elapsed_time:0:46:11.042645

Epoch:16/20: step:9700, lr:5.8889975e-05, loss:0.021634039, pPAN_max:0.9395715, pPAN_min:0.09864795, elapsed_time:0:46:39.371087

Epoch:16/20: step:9800, lr:5.6788183e-05, loss:0.016004104, pPAN_max:0.6476185, pPAN_min:6.4730644e-05, elapsed_time:0:47:07.867746

Epoch:17/20: step:9900, lr:5.4761407e-05, loss:0.022254195, pPAN_max:0.8526493, pPAN_min:5.736947e-05, elapsed_time:0:47:38.377543

Epoch:17/20: step:10000, lr:5.2806965e-05, loss:0.02094691, pPAN_max:0.803585, pPAN_min:0.11351207, elapsed_time:0:48:06.979433

Epoch:17/20: step:10100, lr:5.0922274e-05, loss:0.016957512, pPAN_max:0.88048697, pPAN_min:4.9114227e-05, elapsed_time:0:48:35.578418

Epoch:17/20: step:10200, lr:4.910485e-05, loss:0.017922454, pPAN_max:0.78375816, pPAN_min:5.8352947e-05, elapsed_time:0:49:04.038098

Epoch:17/20: step:10300, lr:4.735229e-05, loss:0.024028976, pPAN_max:0.7099974, pPAN_min:0.11192325, elapsed_time:0:49:32.538991

Epoch:17/20: step:10400, lr:4.566228e-05, loss:0.026871445, pPAN_max:0.9097432, pPAN_min:5.0008297e-05, elapsed_time:0:50:01.263670

Epoch:18/20: step:10500, lr:4.4032582e-05, loss:0.02239837, pPAN_max:0.64082605, pPAN_min:0.101742536, elapsed_time:0:50:31.770595

Epoch:18/20: step:10600, lr:4.2461055e-05, loss:0.017816715, pPAN_max:0.57899797, pPAN_min:0.08068794, elapsed_time:0:51:00.167121

Epoch:18/20: step:10700, lr:4.0945615e-05, loss:0.02162718, pPAN_max:0.79801047, pPAN_min:4.8220158e-05, elapsed_time:0:51:28.756287

Epoch:18/20: step:10800, lr:3.948426e-05, loss:0.014737245, pPAN_max:0.72714484, pPAN_min:5.4627657e-05, elapsed_time:0:51:57.350213

Epoch:18/20: step:10900, lr:3.8075057e-05, loss:0.027363043, pPAN_max:0.92351604, pPAN_min:5.3852797e-05, elapsed_time:0:52:25.945421

Epoch:18/20: step:11000, lr:3.6716177e-05, loss:0.0122617185, pPAN_max:0.89779, pPAN_min:0.12419936, elapsed_time:0:52:54.250902

Epoch:19/20: step:11100, lr:3.540576e-05, loss:0.015998563, pPAN_max:0.7698038, pPAN_min:0.13136438, elapsed_time:0:53:25.219325

Epoch:19/20: step:11200, lr:3.4142126e-05, loss:0.043503374, pPAN_max:0.7640182, pPAN_min:0.11478266, elapsed_time:0:53:54.334744

Epoch:19/20: step:11300, lr:3.2923585e-05, loss:0.018060664, pPAN_max:0.9492501, pPAN_min:0.11877063, elapsed_time:0:54:23.244807

Epoch:19/20: step:11400, lr:3.1748536e-05, loss:0.016820956, pPAN_max:0.59243447, pPAN_min:0.14178705, elapsed_time:0:54:52.193992

Epoch:19/20: step:11500, lr:3.0615425e-05, loss:0.024694128, pPAN_max:0.705473, pPAN_min:0.08623618, elapsed_time:0:55:20.689094

Epoch:19/20: step:11600, lr:2.9522758e-05, loss:0.016323972, pPAN_max:0.8878407, pPAN_min:0.14124113, elapsed_time:0:55:49.303987

Epoch:20/20: step:11700, lr:2.8469085e-05, loss:0.04914114, pPAN_max:0.93455184, pPAN_min:5.927682e-05, elapsed_time:0:56:19.747877

Epoch:20/20: step:11800, lr:2.7453018e-05, loss:0.025649223, pPAN_max:0.7121489, pPAN_min:0.12484759, elapsed_time:0:56:48.461245

Epoch:20/20: step:11900, lr:2.6473213e-05, loss:0.023529563, pPAN_max:0.9376582, pPAN_min:0.1258583, elapsed_time:0:57:17.093437

Epoch:20/20: step:12000, lr:2.5528378e-05, loss:0.01650827, pPAN_max:0.77300596, pPAN_min:5.7041645e-05, elapsed_time:0:57:45.486206

Epoch:20/20: step:12100, lr:2.461727e-05, loss:0.021725863, pPAN_max:0.62430406, pPAN_min:5.4627657e-05, elapsed_time:0:58:13.799463

Epoch:20/20: step:12200, lr:2.3738694e-05, loss:0.012017287, pPAN_max:0.9326373, pPAN_min:0.07727134, elapsed_time:0:58:42.292681

Epoch:20/20: step:12280, lr:2.3058437e-05, loss:0.023054574, pPAN_max:0.94573164, pPAN_min:4.8965216e-05, elapsed_time:0:59:05.146346

